Node_BC,node_cn_0,score_cn_0,node_cn_1,score_cn_1,node_cn_2,score_cn_2
Pull,pull,18.969204,pull up,18.969204,pulls,17.751472
Quatre quarts,quatre quarts,50.12121,quatre quart,43.998848,quat’z’ arts,37.044296
Quiche lorraine,quiche lorraine,44.628517,ouiche lorraine,42.65183,quiches lorraines,40.842823
Racks (baies ou cabinets),cabinets,39.710163,cabinet,33.70884,anticabinets,32.6748
Raclette,raclette,38.315685,raclettes,38.315685,paraclet,29.498955
Radis,radis,21.43098,paradis,20.1382,le paradis,20.1382
Raisin,raisin,19.382647,jus de raisin,18.27995,raisins,18.27995
Raisin vigne,avignerais,22.579605,vigne,22.450695,vignec,21.096403
Ramette de papier,rame de papier,37.797234,ramette,32.19552,ramettes,32.19552
Ramette de papier blanc,rame de papier,37.797234,ramette,32.19552,ramettes,32.19552
Raquette,la raquette,32.088337,les raquettes,32.088337,raquettes,32.088337
Ratatouille de saison,ratatouille,41.40175,ratatouilles,41.40175,tatouille,34.510338
Recyclage en place à chaud (REC),recyclage,50.249607,recyclages,47.807632,recycla,43.143875
Recyclage en place à l'émulsion,recyclage,46.163853,recyclages,43.920433,recycla,38.593235
Réfrigérateur,réfrigérateur,57.240776,réfrigérateursréfrigérateurs,55.93883,réfrigérateurs,54.91178
Réfrigérateur-congelateur,réfrigérateur,70.87043,réfrigérateursréfrigérateurs,69.25848,réfrigérateurs,67.98688
Réfrigération commerciale,réfrigération,53.17135,réfrigérations,51.00793,réfrigératif,49.26052
Réfrigération fret maritime,réfrigération,53.17135,réfrigérations,51.00793,réfrigératif,49.26052
Réfrigération fret routier,réfrigération,53.17135,réfrigérations,51.00793,réfrigératif,49.26052
Réfrigération industrielle,réfrigération,53.17135,réfrigérations,51.00793,réfrigératif,49.26052
Réfrigétateur,réfrigérateur,42.291107,réfrigérateursréfrigérateurs,41.329193,réfrigérateurs,40.57038
Régulateur de croissance,régulateur,45.328857,régulateur de ph,45.328857,régulateurs,43.22811
Repas,repas,14.15273,repaie,13.244192,repait,13.244192
Répondeur téléphoni,téléphonie,42.22449,répondeur,42.18477,téléphonique,40.267612
Répondeur téléphonique,téléphonique,50.183273,téléphoniques,47.960556,répartiteur téléphonique,44.10881
RER,rer,5.838191,rerererererecommence,5.7210493,rerererererecommences,5.7210493
Réseau de chaleur,réseau des réseaux,32.56608,réseau,29.715134,réseaux,29.715134
Réseau de froid,réseau des réseaux,32.56608,réseau,29.715134,réseaux,29.715134
"Résidentiel, appartement",résidentiel,47.382618,présidentiel,45.283947,résidentiels,45.283947
"Résidentiel, maison",résidentiel,45.30984,présidentiel,43.30298,résidentiels,43.30298
Résidu de culture,culture,33.093273,culture gé,33.093273,en culture,33.093273
